team,elo
Spain,2223.9
Argentina,2194.1
France,2129.9
England,2095.6
Colombia,2068.1
Brazil,2065.7
Portugal,2051.2
Germany,2021.2
Netherlands,2014.1
Japan,1998.8
Morocco,1995.1
Mexico,1991.3
Ecuador,1985.4
Uruguay,1979.4
Norway,1976.8
Croatia,1974.2
Belgium,1961.7
Australia,1959.1
Switzerland,1936.7
Italy,1933.8
Denmark,1933.6
Turkey,1920.7
Senegal,1916.4
South Korea,1907.8
Iran,1900.3
Austria,1895.1
Algeria,1887.0
Nigeria,1884.8
United States,1881.9
Canada,1879.7
Paraguay,1871.3
Scotland,1867.8
Ivory Coast,1863.9
Panama,1857.4
Ukraine,1846.9
Russia,1844.8
Venezuela,1827.7
Sweden,1826.4
Uzbekistan,1823.7
Egypt,1812.9
Greece,1808.2
Chile,1808.1
Serbia,1806.7
Jersey,1805.3
Basque Country,1803.9
Czech Republic,1783.7
Jordan,1778.6
Kosovo,1776.8
Poland,1776.2
Peru,1775.9
Hungary,1772.9
Republic of Ireland,1765.9
DR Congo,1765.7
Costa Rica,1748.2
Wales,1748.2
Guernsey,1745.7
Slovenia,1743.6
Iraq,1741.2
New Zealand,1734.7
German DR,1731.8
Slovakia,1730.2
Cameroon,1726.6
Bolivia,1721.1
Georgia,1715.7
Honduras,1713.9
Mali,1710.4
Isle of Man,1709.2
Israel,1706.1
Romania,1705.8
Saudi Arabia,1696.2
Haiti,1691.5
Tunisia,1690.2
Northern Cyprus,1689.5
Occitania,1686.8
Padania,1686.3
Bosnia and Herzegovina,1679.8
Albania,1678.8
United Arab Emirates,1668.3
Northern Ireland,1667.6
Jamaica,1660.8
Isle of Wight,1660.1
South Africa,1658.0
Catalonia,1657.9
Cape Verde,1656.3
North Macedonia,1654.7
Burkina Faso,1654.0
Guatemala,1650.3
Iraqi Kurdistan,1645.3
Ynys Môn,1639.9
Iceland,1634.5
Abkhazia,1628.2
Ghana,1627.8
Kárpátalja,1606.8
Finland,1604.7
Syria,1601.9
Curaçao,1597.1
Kernow,1595.6
Qatar,1593.6
Andalusia,1593.4
Suriname,1593.1
New Caledonia,1592.1
Rhodes,1591.3
Angola,1591.1
Palestine,1591.0
County of Nice,1591.0
Belarus,1589.8
Tamil Eelam,1586.9
Panjab,1585.7
Réunion,1582.0
Guinea,1579.5
Oman,1576.8
Ellan Vannin,1569.8
Kurdistan,1567.4
Menorca,1566.2
Artsakh,1557.3
Corsica,1556.4
China,1555.7
Chameria,1553.9
Yorkshire,1553.3
Zambia,1552.5
Arameans Suryoye,1546.3
Quebec,1546.2
Cascadia,1545.3
Bahrain,1544.2
Benin,1541.4
Gambia,1541.1
Bulgaria,1540.3
Trinidad and Tobago,1539.9
Thailand,1535.7
Zanzibar,1535.5
Libya,1532.7
Maule Sur,1528.3
Galicia,1528.2
Gabon,1523.8
Montenegro,1523.0
Asturias,1520.5
Guadeloupe,1520.0
Western Armenia,1518.6
Surrey,1516.2
Canary Islands,1515.5
Uganda,1515.0
Biafra,1514.7
Elba Island,1514.3
Parishes of Jersey,1513.9
Madagascar,1512.1
Donetsk PR,1511.8
Kazakhstan,1511.8
Mapuche,1508.5
Felvidék,1507.5
Tahiti,1507.2
Silesia,1506.9
Indonesia,1506.6
Nicaragua,1505.7
Crimea,1505.0
Brittany,1504.5
Shetland,1503.1
United Koreans in Japan,1501.2
Niger,1500.4
Délvidék,1500.2
Togo,1497.7
Mozambique,1496.4
El Salvador,1496.4
North Korea,1496.3
Central Spain,1495.3
Saugeais,1494.7
Székely Land,1494.7
Guyana,1492.2
Cilento,1490.6
Madrid,1489.5
Luhansk PR,1489.2
Comoros,1488.2
North Vietnam,1488.1
Sápmi,1487.2
Seborga,1486.4
Malaysia,1484.3
Sealand,1483.9
Yoruba Nation,1483.5
Matabeleland,1482.1
Republic of St. Pauli,1480.8
Martinique,1480.6
Franconia,1478.2
Kuwait,1477.8
Somaliland,1477.7
Zimbabwe,1477.6
Sudan,1477.4
Dominican Republic,1476.3
South Ossetia,1475.6
Ryūkyū,1474.4
West Papua,1474.3
Åland Islands,1473.5
Kenya,1473.3
Sierra Leone,1472.5
Vietnam,1471.2
Gozo,1469.3
South Yemen,1468.9
Greenland,1465.6
Luxembourg,1465.0
Romani people,1463.8
Aymara,1463.2
Hmong,1461.1
Provence,1460.2
Mayotte,1455.9
Kabylia,1455.8
Kyrgyzstan,1455.5
East Turkestan,1455.2
Monaco,1452.1
Chechnya,1451.3
Rwanda,1449.9
Faroe Islands,1447.6
Mauritania,1446.7
Saarland,1446.5
Equatorial Guinea,1446.4
Lebanon,1444.7
Gotland,1444.2
Papua New Guinea,1444.2
Tajikistan,1440.3
Malawi,1439.7
Liberia,1439.1
Western Isles,1436.2
Armenia,1434.1
Vanuatu,1431.0
Manchukuo,1430.4
Găgăuzia,1429.7
Estonia,1429.1
Niue,1425.8
Namibia,1425.6
French Guiana,1422.0
Palau,1420.8
Lesotho,1420.2
Tanzania,1419.4
Marshall Islands,1416.9
Cuba,1414.9
Saint Barthélemy,1412.5
Vatican City,1411.3
Fiji,1410.4
Ticino,1409.7
Raetia,1408.3
Two Sicilies,1404.9
Western Sahara,1400.3
Orkney,1397.3
Azerbaijan,1396.2
Western Australia,1395.4
Ethiopia,1394.0
Ambazonia,1392.2
Turkmenistan,1389.6
Botswana,1389.0
Burundi,1389.0
Cyprus,1376.4
Central African Republic,1363.6
Guinea-Bissau,1362.8
Chagos Islands,1359.5
Barawa,1358.4
Malta,1355.7
Yemen DPR,1354.6
Puerto Rico,1354.0
Saint Vincent and the Grenadines,1353.4
Solomon Islands,1350.2
Saint Helena,1348.6
Vietnam Republic,1347.1
Hitra,1343.4
Philippines,1342.4
Saare County,1340.9
Lithuania,1339.6
Bermuda,1337.6
Latvia,1337.0
Congo,1331.3
Moldova,1328.9
Sark,1327.8
Micronesia,1320.7
Eswatini,1317.9
Hong Kong,1313.0
Saint Martin,1310.6
Yemen,1309.1
Sint Maarten,1297.6
Singapore,1296.3
Wallis Islands and Futuna,1291.5
Grenada,1287.6
Saint Pierre and Miquelon,1287.6
Belize,1287.6
Darfur,1274.8
South Sudan,1272.0
Tibet,1267.2
Saint Kitts and Nevis,1263.4
Chad,1248.0
India,1239.6
Montserrat,1229.8
Kiribati,1225.1
Samoa,1217.0
Saint Lucia,1216.2
Falkland Islands,1214.5
Mauritius,1209.6
Tuvalu,1207.8
Aruba,1207.6
Eritrea,1197.8
Frøya,1194.5
São Tomé and Príncipe,1182.7
Afghanistan,1174.1
Dominica,1163.7
Andorra,1148.9
Gibraltar,1141.5
Myanmar,1138.0
Bangladesh,1134.3
Cook Islands,1131.3
Pakistan,1123.5
Barbados,1122.3
Bonaire,1115.8
Nepal,1105.5
Antigua and Barbuda,1103.9
Cambodia,1079.0
Alderney,1076.9
Djibouti,1076.4
Somalia,1061.5
Taiwan,1060.9
Tonga,1056.9
Cayman Islands,1029.9
British Virgin Islands,1022.2
Sri Lanka,1013.4
Seychelles,1012.3
Maldives,1000.1
Mongolia,983.2
Liechtenstein,980.0
Guam,976.6
Turks and Caicos Islands,975.7
Northern Mariana Islands,968.8
United States Virgin Islands,964.4
Bahamas,944.7
Laos,940.5
American Samoa,922.3
San Marino,913.7
Timor-Leste,906.4
Brunei,892.3
Anguilla,891.5
Bhutan,861.8
Macau,840.5
